"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","无效删除用户·缺少必填参数","testcase.Single interface","2026-08-05","passed","2026-08-05","TestUserManager","test_debug_api","",""
"","22","获取商品详情","testcase.ProductManager","2026-08-05","passed","2026-08-05","TestLogin","test_productList","",""
"","25","商品列表","testcase.Business interface","2026-08-05","passed","2026-08-05","TestEBusinessScenario","test_business_scenario","",""
"","44","校验订单状态","testcase.Business interface","2026-08-05","passed","2026-08-05","TestEBusinessScenario","test_business_scenario","",""
"","18","无效新增·缺少token","testcase.Single interface","2026-08-05","passed","2026-08-05","TestUserManager","test_debug_api","",""
"","47","订单支付","testcase.Business interface","2026-08-05","passed","2026-08-05","TestEBusinessScenario","test_business_scenario","",""
"","40","订单支付","testcase.ProductManager","2026-08-05","passed","2026-08-05","TestLogin","test_productList","",""
"","36","获取商品列表","testcase.ProductManager","2026-08-05","passed","2026-08-05","TestLogin","test_productList","",""
"","36","商品详情","testcase.Business interface","2026-08-05","passed","2026-08-05","TestEBusinessScenario","test_business_scenario","",""
"","26","提交订单","testcase.ProductManager","2026-08-05","passed","2026-08-05","TestLogin","test_productList","",""
"","55","提交订单","testcase.Business interface","2026-08-05","passed","2026-08-05","TestEBusinessScenario","test_business_scenario","",""
"","28","有效删除用户","testcase.Single interface","2026-08-05","passed","2026-08-05","TestUserManager","test_debug_api","",""
"","35","正常新增用户","testcase.Single interface","2026-08-05","passed","2026-08-05","TestUserManager","test_debug_api","",""
"","41","有效查询用户","testcase.Single interface","2026-08-05","passed","2026-08-05","TestUserManager","test_debug_api","",""
"","35","无效新增·缺少必填参数role_id","testcase.Single interface","2026-08-05","passed","2026-08-05","TestUserManager","test_debug_api","",""
"","33","无效新增·缺少必填参数username","testcase.Single interface","2026-08-05","passed","2026-08-05","TestUserManager","test_debug_api","",""
"","17","正常修改用户信息","testcase.Single interface","2026-08-05","passed","2026-08-05","TestUserManager","test_debug_api","",""
"","17","无效删除用户·userid为空","testcase.Single interface","2026-08-05","passed","2026-08-05","TestUserManager","test_debug_api","",""
